Código do Produto,Nome do Produto,Categoria do Produto,Subtipo de Produto,Estado do Produto,Localização Atual,Quantidade em Stock,Unidade de Medida,Notas/Observações
CER-OPE,Cera de Opérculo,Cera,Opérculo,Armazém - Stock,Armazém,10,kg,
CER-PRE,Cera Prensada,Cera,Prensada,Armazém - Stock,Armazém,12,kg,
EQI-EXT-16Q,Extrator de Mel 16 Quadros,Equipamento de Melaria,Extrator 16 quadros,Melaria - Em Uso,Melaria,1,Unidades,
EQI-TIN-DES,Tina Desoperculadora,Equipamento de Melaria,Tina Desoperculadora,Melaria - Em Uso,Melaria,1,Unidades,
EQI-PEN-DES,Pente Desoperculador,Equipamento de Melaria,Pente Desoperculador,Melaria - Em Uso,Melaria,3,Unidades,
EQI-PRE-CER,Prensa Cera de Opérculos,Equipamento de Melaria,Prensa Cera de Opérculos,Melaria - Em Uso,Melaria,1,Unidades,
FAR-DES,Desoperculador,Ferramentas Apícolas,Desoperculador,Armazém - Stock,Armazém,1,Unidades,
FAR-FIL-MEL,Filtro de Mel Duplo Inox,Ferramentas Apícolas,Filtro de Mel Duplo Inox,Armazém - Stock,Armazém,3,Unidades,
VET-ESP,Frasco para Espurgo,Veterinários,Frasco para Espurgo,Armazém - Stock,Armazém,15,Unidades,
MEL-MED,Mel Mediterrâneo,Mel,Rosmaninho,Armazém - Stock,Armazém,1100,kg,
MEL-BOS,Mel do Bosque ,Mel,"Melada Carvalho, Castanheiro",Armazém - Stock,Armazém,980,kg,
EMB-BID,Bidon,Embalamento,Bidon,Armazém - Stock,Armazém,18,Unidades,
EMB-TIN,Tina,Embalamento,Tina,Armazém - Stock,Armazém,4,Unidades,
EMB-FRA-1KG,Frasco 1kg,Embalamento,1kg,Armazém - Stock,Armazém,300,Unidades,
EMB-MEL-500GR,Frasco 500gr,Embalamento,500gr,Armazém - Stock,Armazém,100,Unidades,
EMB-MEL-220GR,Frasco 220gr,Embalamento,220gr,Armazém - Stock,Armazém,50,Unidades,
EMB-TAM-FRA-1KG,Tampa 1kg,Embalamento,1kg,Armazém - Stock,Armazém,300,Unidades,
TAM-FRAS-MEL-500GR,Tampa 500gr,Embalamento,500gr,Armazém - Stock,Armazém,50,Unidades,
TAM-FRAS-MEL-220GR,Tampa 220gr,Embalamento,220gr,Armazém - Stock,Armazém,20,Unidades,
ROT-MEL-MED-1KG,Rótulo Mediterrâneo 1kg,Embalamento,Mediterrâneo 1kg,Armazém - Stock,Armazém,100,Unidades,
ROT-MEL-MED-500GR,Rótulo Mediterrâneo 500gr,Embalamento,Mediterrâneo 500gr,Armazém - Stock,Armazém,25,Unidades,
ROT-MEL-BOS-1KG,Rótulo do Bosque 1kg,Embalamento,Bosque 1kg,Armazém - Stock,Armazém,80,Unidades,
ROT-MEL-BOS-500GR,Rótulo do Bosque 500gr,Embalamento,Bosque 500gr,Armazém - Stock,Armazém,15,Unidades,
COL-ALC,Alça,Colmeia,Universal,Armazém - Stock,Armazém,214,Unidades,
MAT-COL-ALI-1KG,Alimentador 1kg,Material de Colmeia,1kg,Armazém - Stock,Armazém,60,Unidades,
MAT-COL-ALI-2KG,Alimentador 2kg,Material de Colmeia,2kg,Armazém - Stock,Armazém,40,Unidades,
COL-LAN,Colmeia Langstroth ,Colmeia,Langstroth Malhetada,Armazém ,Armazém,7,Unidades,
COL-REV,Colmeia Reversível ,Colmeia,Reversível Malhetada,Armazém ,Armazém,100,Unidades,
MAT-COL-QUA-ALC,Quadro de Alça,Material de Colmeia,Universal,Armazém - Stock,Armazém,1712,Unidades,
MAT-COL-QUA-COL,Quadro de Colmeia,Material de Colmeia,Universal,Armazém - Stock,Armazém,1070,Unidades,
MAT-COL-REG-COL,Régua Reguladora Universal,Material de Colmeia,Universal,Armazém - Stock,Armazém,107,Unidades,
MAT-COL-TEL-COL,Telhado Universal,Material de Colmeia,Universal,Armazém - Stock,Armazém,107,Unidades,
MAT-COL-API-MAQ,Máquina Apitoxina,Material de Colmeia,Máquina Apitoxina,Armazém - Stock,Armazém,1,Unidades,
MAT-VIS-FAT-L,Fato Apícola,Material de Visita,Tamanho L,Armazém - Stock,Armazém,3,Unidades,
MAT-VIS-FAT-XL,Fato Apícola,Material de Visita,Tamanho XL,Armazém - Stock,Armazém,4,Unidades,
MAT-VIS-LUV-PAR,Luvas Apícolas,Material de Visita,Par,Armazém - Stock,Armazém,6,Pares,
MAT-VIS-FUM,Fumigador Apícola,Material de Visita,Fumigador ,Armazém - Stock,Armazém,4,Unidades,
MAT-VIS-FER,Ferro de Colmeia,Material de Visita,Ferro de Colmeia,Armazém - Stock,Armazém,5,Unidades,
MAT-VIS-ESC,Escova Abelhas,Material de Visita,Cresta de Campo ,Armazém - Stock,Armazém,3,Unidades,
VET-VAR,Tiras Tratamento Varroa,Veterinários,Tiras Tratamento Varroa,Armazém - Stock,Armazém,60,Unidades,
